"Jahr","Swiss GHD DOY","Mittlere April-Juli-Temperatur","11-jährig gleitendes Temperaturmittel","oberer doppelter Standard-Temperaturschätzfehler","unterer doppelter Standard-Temperaturschätzfehler"
1444,272,1.885,NA,NA,NA
1445,NA,NA,NA,NA,NA
1446,NA,NA,NA,NA,NA
1447,NA,NA,NA,NA,NA
1448,NA,NA,NA,NA,NA
1449,NA,NA,NA,NA,NA
1450,NA,NA,NA,NA,NA
1451,NA,NA,NA,NA,NA
1452,NA,NA,NA,NA,NA
1453,NA,NA,NA,NA,NA
1454,NA,NA,NA,NA,NA
1455,NA,NA,0.756999999999998,1.757,-0.243000000000002
1456,NA,NA,0.944999999999999,1.945,-0.0550000000000015
1457,NA,NA,0.537666666666665,1.53766666666667,-0.462333333333335
1458,284,0.756999999999998,0.333999999999999,1.334,-0.666000000000001
1459,NA,NA,0.531399999999999,1.5314,-0.468600000000001
1460,NA,NA,0.333999999999998,1.334,-0.666000000000001
1461,280,1.133,0.340714285714284,1.34071428571428,-0.659285714285716
1462,295,-0.277000000000001,0.345749999999999,1.34575,-0.654250000000001
1463,295,-0.277000000000001,0.255666666666666,1.25566666666667,-0.744333333333334
1464,278,1.321,0.318333333333332,1.31833333333333,-0.681666666666668
1465,299,-0.653000000000002,0.239999999999999,1.24,-0.760000000000001
1466,288,0.381,0.406636363636363,1.40663636363636,-0.593363636363637
1467,288,0.381,0.333999999999999,1.334,-0.666000000000001
1468,297,-0.465,0.615999999999999,1.616,-0.384000000000001
1469,278,1.321,0.578399999999999,1.5784,-0.421600000000001
1470,297,-0.465,0.456199999999999,1.4562,-0.543800000000001
1471,270,2.073,0.663,1.663,-0.337
1472,NA,NA,0.663,1.663,-0.337
1473,265,2.543,0.709999999999999,1.71,-0.290000000000001
1474,299,-0.653000000000002,0.907399999999999,1.9074,-0.0926000000000006
1475,291,0.0990000000000002,0.6724,1.6724,-0.3276
1476,277,1.415,0.540799999999999,1.5408,-0.459200000000001
1477,288,0.381,0.474999999999999,1.475,-0.525000000000001
1478,283,0.850999999999999,0.568999999999999,1.569,-0.431000000000001
1479,276,1.509,0.389545454545454,1.38954545454545,-0.610454545454546
1480,303,-1.029,0.329727272727272,1.32972727272727,-0.670272727272728
1481,311,-1.781,0.406636363636363,1.40663636363636,-0.593363636363637
1482,277,1.415,0.3058,1.3058,-0.6942
1483,276,1.509,0.1648,1.1648,-0.8352
1484,286,0.568999999999999,0.0885555555555552,1.08855555555556,-0.911444444444445
1485,306,-1.311,-0.0681111111111115,0.931888888888889,-1.06811111111111
1486,282,0.945,0.0519999999999996,1.052,-0.948
1487,NA,NA,0.41625,1.41625,-0.58375
1488,303,-1.029,0.18125,1.18125,-0.81875
1489,NA,NA,0.146,1.146,-0.854
1490,291,0.0990000000000002,0.24,1.24,-0.76
1491,NA,NA,0.334,1.334,-0.666
1492,280,1.133,0.275249999999999,1.27525,-0.724750000000001
1493,297,-0.465,0.286999999999999,1.287,-0.713
1494,279,1.227,0.464555555555555,1.46455555555555,-0.535444444444445
1495,278,1.321,0.606599999999999,1.6066,-0.393400000000001
1496,298,-0.559000000000001,0.672399999999999,1.6724,-0.327600000000001
1497,287,0.474999999999998,0.680090909090908,1.68009090909091,-0.319909090909092
1498,288,0.381,0.714272727272726,1.71427272727273,-0.285727272727274
1499,286,0.568999999999999,0.885181818181817,1.88518181818182,-0.114818181818183
1500,272,1.885,0.722818181818181,1.72281818181818,-0.277181818181819
1501,284,0.756999999999998,0.637363636363635,1.63736363636364,-0.362636363636365
1502,284,0.756999999999998,0.825363636363635,1.82536363636364,-0.174636363636365
1503,276,1.509,0.731363636363636,1.73136363636364,-0.268636363636364
1504,277,1.415,0.748454545454544,1.74845454545454,-0.251545454545456
1505,298,-0.559000000000001,0.722818181818181,1.72281818181818,-0.277181818181819
1506,288,0.381,0.586090909090908,1.58609090909091,-0.413909090909092
1507,276,1.509,0.55190909090909,1.55190909090909,-0.44809090909091
1508,298,-0.559000000000001,0.500636363636363,1.50063636363636,-0.499363636363637
1509,286,0.568999999999999,0.372454545454545,1.37245454545454,-0.627545454545455
1510,289,0.286999999999999,0.210090909090908,1.21009090909091,-0.789909090909092
1511,288,0.381,0.398090909090909,1.39809090909091,-0.601909090909091
1512,288,0.381,0.466454545454545,1.46645454545454,-0.533545454545455
1513,290,0.192999999999998,0.406636363636363,1.40663636363636,-0.593363636363637
1514,291,0.0990000000000002,0.466454545454545,1.46645454545454,-0.533545454545455
1515,296,-0.371000000000002,0.534818181818181,1.53481818181818,-0.465181818181819
1516,276,1.509,0.637363636363636,1.63736363636364,-0.362636363636364
1517,280,1.133,0.586090909090908,1.58609090909091,-0.413909090909092
1518,283,0.850999999999999,0.611727272727272,1.61172727272727,-0.388272727272728
1519,291,0.0990000000000002,0.637363636363636,1.63736363636364,-0.362636363636364
