"Branche","1870","1910"
"Landwirtschaft",4.5,1.8
"Baugewerbe",7,13.8
"Bekleidung/Reinigung",11.2,7.2
"Textilindustrie",16.1,9.4
"Chemie",0.7,5.3
"Sonstige Gewerbe/Industrie",17.4,13.5
"Handel",14.4,20.2
"Verkehr",4.5,9.2
"Öffentliche Dienste",4.6,8.5
"Persönliche Dienste/Dienstboten",19.5,11
